IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.27.4.153,165,184,172,0
104.25.87.225,164,182,172,0
172.67.113.193,165,179,173,0
162.159.133.84,166,184,173,0
104.25.86.218,164,192,173,0
104.24.204.163,167,181,174,0
172.67.40.55,165,183,174,0
104.27.103.122,166,188,174,0
104.25.173.244,167,183,174,0
104.25.78.75,166,187,174,0
104.25.198.251,167,186,174,0
172.67.20.220,166,201,174,0
104.25.76.89,167,181,174,0
104.20.177.16,166,192,174,0
104.25.191.242,167,200,174,0
104.23.103.28,166,190,174,0
104.25.58.171,165,187,174,0
104.27.6.165,165,186,175,0
172.67.37.108,168,185,175,0
104.20.77.196,166,190,175,0
172.67.36.187,167,188,175,0
104.24.25.138,167,183,175,0
104.27.50.100,168,192,175,0
104.24.48.189,165,191,175,0
104.25.96.143,166,196,175,0
104.24.91.7,167,191,175,0
104.20.88.65,167,186,175,0
104.24.200.22,166,192,175,0
104.27.24.151,166,187,175,0
162.159.141.250,167,193,175,0
104.25.243.13,167,187,175,0
104.23.96.45,165,195,175,0
104.25.29.126,165,195,175,0
104.22.12.170,169,181,175,0
104.25.149.170,166,192,175,0
104.25.54.248,164,205,175,0
104.22.3.227,166,191,175,0
104.20.73.203,171,182,175,0
104.22.43.236,166,188,176,0
104.24.34.95,167,181,176,0
104.27.194.197,166,192,176,0
104.24.156.67,169,181,176,0
104.25.140.52,164,190,176,0
162.159.135.111,170,183,176,0
104.24.53.130,167,186,176,0
104.20.136.203,166,194,176,0
172.67.89.41,165,191,176,0
172.67.124.167,167,190,176,0
104.24.83.210,167,187,176,0
104.27.87.74,169,187,176,0
104.27.196.231,166,188,176,0
104.27.66.129,168,190,176,0
104.27.22.179,164,197,176,0
104.20.163.32,166,188,176,0
104.23.143.157,164,186,176,0
104.24.93.53,167,192,176,0
104.27.97.44,168,186,176,0
104.19.66.6,173,180,176,0
104.24.14.154,165,185,176,0
104.20.246.150,166,186,176,0
104.24.57.5,166,188,176,0
104.25.194.20,166,183,176,0
104.22.6.101,165,192,176,0
104.25.240.108,166,187,176,0
104.20.174.243,169,184,176,0
104.25.75.119,167,185,177,0
104.25.25.22,167,194,177,0
104.22.78.218,168,187,177,0
104.27.40.96,168,184,177,0
104.24.60.165,169,188,177,0
104.25.100.209,166,187,177,0
104.24.250.200,166,184,177,0
104.27.98.244,169,191,177,0
104.25.43.68,167,186,177,0
104.24.58.208,167,192,177,0
104.25.90.25,168,189,177,0
104.22.32.171,170,192,177,0
104.27.94.226,165,187,177,0
172.67.72.48,172,183,177,0
104.20.74.240,168,185,177,0
104.22.79.215,167,193,177,0
104.19.127.131,174,184,177,0
104.24.147.96,169,190,177,0
104.25.55.238,164,193,177,0
104.24.61.0,167,188,177,0
104.27.55.124,165,189,177,0
104.20.89.244,170,184,177,0
104.20.2.219,164,189,177,0
104.25.218.185,166,186,177,0
104.24.141.53,168,187,177,0
104.24.0.76,167,187,177,0
104.20.129.94,168,188,177,0
104.20.12.136,165,194,177,0
104.26.5.74,167,188,177,0
104.24.226.59,167,186,177,0
104.20.55.55,169,187,177,0
104.22.70.185,167,191,177,0
104.24.159.87,165,193,177,0
104.25.118.252,168,186,177,0
104.24.17.191,167,188,178,0
104.19.111.22,173,188,178,0
104.19.32.74,171,181,178,0
104.20.15.231,165,193,178,0
104.25.12.106,165,190,178,0
104.25.167.33,164,192,178,0
104.20.123.209,166,219,178,0
104.20.54.162,167,185,178,0
104.22.25.209,166,205,178,0
104.24.24.25,168,192,178,0
104.22.8.254,168,199,178,0
104.20.116.254,167,192,178,0
104.24.52.108,166,185,178,0
104.18.210.255,174,182,178,0
104.19.86.187,173,194,178,0
104.20.25.113,169,189,178,0
104.24.158.117,166,187,178,0
104.27.29.163,167,195,178,0
104.24.225.198,165,211,178,0
104.27.5.13,170,193,178,0
104.27.106.190,165,189,178,0
104.27.195.219,166,190,178,0
104.25.80.250,169,192,178,0
104.20.30.183,166,191,178,0
172.67.0.189,167,195,178,0
104.20.112.192,165,204,178,0
172.67.85.138,166,196,178,0
104.26.8.255,165,202,178,0
104.20.194.109,167,188,178,0
104.24.236.44,164,193,178,0
172.67.70.175,169,185,178,0
104.20.229.167,165,203,178,0
104.24.129.141,167,195,178,0
104.24.74.238,169,190,178,0
104.20.70.136,168,185,178,0
104.27.39.23,168,191,178,0
104.24.253.17,167,186,178,0
162.159.160.115,167,187,178,0
104.24.208.129,164,194,178,0
104.25.139.211,169,189,178,0
104.27.48.226,167,192,178,0
104.22.51.126,169,192,178,0
104.24.27.246,167,193,178,0
104.26.9.233,169,188,178,0
104.25.74.160,164,196,178,0
104.27.25.194,167,196,178,0
104.22.71.48,167,186,179,0
172.67.41.59,171,188,179,0
104.19.30.58,173,200,179,0
104.25.56.59,167,186,179,0
104.27.68.233,167,196,179,0
172.67.120.60,165,189,179,0
104.20.151.56,167,193,179,0
104.20.216.96,171,194,179,0
104.20.181.199,167,190,179,0
104.25.39.102,170,184,179,0
104.20.138.91,168,192,179,0
104.20.94.226,168,189,179,0
104.25.121.187,165,195,179,0
104.25.175.253,167,185,179,0
104.19.20.121,174,188,179,0
104.23.111.118,165,196,179,0
104.20.21.169,169,186,179,0
104.27.57.153,164,192,179,0
104.25.30.105,171,184,179,0
104.22.58.57,168,192,179,0
172.67.92.83,170,183,179,0
104.27.76.195,167,191,179,0
104.25.221.30,166,186,179,0
104.20.241.4,166,193,179,0
104.25.5.208,170,197,179,0
104.16.77.190,174,187,179,0
104.18.147.164,174,190,179,0
104.27.36.99,166,192,179,0
104.25.68.226,170,189,179,0
104.20.63.255,173,184,179,0
104.20.168.126,165,195,179,0
104.19.120.199,172,190,179,0
104.19.1.169,173,185,179,0
104.24.162.149,167,188,179,0
104.19.72.207,172,191,179,0
104.19.54.123,175,188,179,0
104.25.109.194,170,193,179,0
104.20.20.66,166,186,179,0
104.19.117.33,174,187,179,0
104.24.231.15,167,195,180,0
104.25.219.87,170,192,180,0
104.19.115.175,172,191,180,0
104.19.104.54,174,192,180,0
104.27.10.203,170,191,180,0
104.25.209.188,168,189,180,0
104.27.192.45,173,192,180,0
104.19.126.223,174,190,180,0
104.25.205.146,169,193,180,0
104.16.75.98,172,195,180,0
104.22.77.242,169,188,180,0
104.20.199.108,164,197,180,0
104.19.48.17,174,188,180,0
104.25.164.133,169,189,180,0
104.24.252.89,167,190,180,0
104.23.117.2,171,194,180,0
104.25.49.91,169,188,180,0
104.19.42.20,173,190,180,0
104.23.113.78,165,188,180,0
104.22.5.20,169,185,180,0
104.27.61.230,167,189,180,0
104.27.64.46,169,189,180,0
104.22.30.190,168,187,180,0
104.25.135.228,168,189,180,0
104.20.251.11,166,195,180,0
104.24.13.65,171,188,180,0
104.23.116.1,164,195,180,0
172.67.55.49,169,192,180,0
104.20.50.219,172,184,180,0
104.25.108.64,165,200,180,0
104.19.55.44,172,191,180,0
104.19.44.51,175,190,180,0
104.22.52.125,167,188,180,0
104.24.165.140,170,189,180,0
104.25.248.125,169,195,180,0
104.22.36.172,171,187,180,0
104.24.95.95,168,186,180,0
104.19.89.158,175,191,180,0
172.67.86.68,164,191,180,0
172.67.108.34,170,197,180,0
104.19.85.40,172,199,180,0
104.20.120.14,169,187,180,0
104.24.241.195,169,194,180,0
104.27.113.237,168,193,180,0
172.67.32.42,168,193,180,0
104.17.244.206,178,183,180,0
104.19.59.205,176,185,180,0
104.20.137.212,169,192,180,0
104.25.60.85,167,195,180,0
104.20.7.62,167,190,180,0
104.20.18.209,167,193,181,0
104.20.14.75,172,186,181,0
104.24.151.8,167,195,181,0
104.19.11.84,174,190,181,0
104.27.121.39,171,198,181,0
104.25.247.111,169,194,181,0
104.20.3.165,175,186,181,0
172.67.63.17,171,190,181,0
104.23.106.161,171,188,181,0
104.19.36.169,176,188,181,0
104.16.154.86,178,186,181,0
104.18.15.206,173,203,181,0
108.162.196.81,177,195,181,0
104.24.148.144,173,190,181,0
104.27.59.82,173,197,181,0
104.19.91.25,175,194,181,0
104.20.124.2,176,186,181,0
173.245.49.148,176,189,181,0
104.17.240.27,176,188,181,0
104.20.237.6,170,193,181,0
172.67.76.177,167,196,181,0
104.17.90.83,175,188,181,0
172.67.117.154,167,194,181,0
104.25.174.116,175,193,181,0
104.20.96.74,168,188,181,0
104.17.53.70,175,189,181,0
104.24.197.89,174,198,181,0
104.23.140.200,174,189,181,0
104.20.86.51,167,210,181,0
172.64.146.222,176,199,181,0
104.24.63.238,172,191,181,0
104.26.2.91,164,194,181,0
104.19.94.36,174,201,181,0
172.67.110.8,170,193,181,0
104.19.37.167,176,192,181,0
172.67.91.46,173,188,181,0
104.27.71.234,168,202,181,0
104.25.179.178,169,192,181,0
104.20.150.206,172,191,181,0
104.16.141.226,176,187,181,0
104.27.74.230,175,190,181,0
104.20.33.168,173,192,181,0
172.67.49.219,171,196,181,0
172.64.35.2,177,186,182,0
104.19.164.66,174,192,182,0
104.27.44.137,166,194,182,0
104.20.153.207,170,193,182,0
104.18.32.205,179,187,182,0
104.25.33.109,169,194,182,0
172.66.42.172,176,195,182,0
104.20.190.225,170,198,182,0
104.20.11.178,167,188,182,0
104.19.49.43,176,203,182,0
104.19.17.225,176,200,182,0
104.17.81.133,175,196,182,0
104.17.199.167,175,195,182,0
104.25.73.62,169,193,182,0
104.17.143.172,176,195,182,0
104.19.60.167,177,199,182,0
104.18.173.94,175,196,182,0
104.19.10.30,173,199,182,0
104.18.1.90,177,191,182,0
104.19.39.23,173,199,182,0
104.25.11.204,167,189,182,0
104.19.114.19,171,200,182,0
104.27.93.106,164,202,182,0
104.19.24.190,176,191,182,0
104.27.205.91,176,188,182,0
104.20.51.155,171,195,182,0
172.67.78.68,172,194,182,0
104.17.119.33,174,195,182,0
104.19.7.214,175,199,182,0
104.26.15.188,166,212,182,0
104.25.64.82,175,190,182,0
104.27.15.41,169,191,182,0
104.25.206.4,170,193,182,0
104.19.26.16,178,191,182,0
104.20.40.151,176,189,182,0
104.22.35.70,167,193,182,0
104.24.212.167,175,191,182,0
104.20.80.118,169,195,182,0
104.17.51.157,173,205,182,0
104.16.129.249,175,195,182,0
104.22.7.18,174,195,182,0
104.17.91.35,173,204,182,0
162.159.207.24,176,191,182,0
172.64.96.95,176,200,182,0
104.19.118.54,174,199,182,0
104.25.122.171,173,195,182,0
104.19.110.36,175,197,182,0
104.17.64.1,175,202,182,0
104.25.18.3,172,197,182,0
104.24.215.222,177,186,182,0
104.19.227.147,177,194,182,0
104.24.233.27,172,187,182,0
104.19.234.115,175,190,182,0
172.67.74.21,168,195,182,0
104.20.91.0,165,198,182,0
104.24.153.155,175,199,182,0
162.159.136.25,167,239,182,0
104.19.82.45,175,191,183,0
104.19.80.138,172,192,183,0
141.101.123.10,174,194,183,0
104.25.41.104,177,191,183,0
104.20.161.242,169,194,183,0
104.23.101.22,171,193,183,0
104.19.87.233,177,190,183,0
172.66.40.248,173,194,183,0
172.67.22.223,169,192,183,0
104.19.41.249,174,203,183,0
104.20.159.86,172,189,183,0
104.19.34.21,177,198,183,0
104.19.220.125,176,197,183,0
104.19.224.38,174,213,183,0
104.19.88.74,176,191,183,0
162.159.60.183,177,197,183,0
104.19.9.191,174,200,183,0
104.24.207.115,176,193,183,0
104.20.16.153,177,198,183,0
104.23.115.53,169,188,183,0
104.17.79.102,175,204,183,0
104.25.72.235,165,190,183,0
104.24.71.5,172,193,183,0
104.19.108.86,174,201,183,0
104.19.187.110,176,227,183,0
104.23.128.228,175,191,183,0
104.19.119.213,176,200,183,0
104.22.41.51,167,196,183,0
104.19.236.15,178,202,183,0
104.24.221.231,173,191,183,0
104.24.19.134,167,195,183,0
104.19.12.195,172,211,183,0
104.19.25.240,178,195,183,0
172.67.102.62,171,193,183,0
104.17.88.88,176,191,184,0
104.19.83.135,175,199,184,0
172.67.2.185,170,200,184,0
104.23.135.251,175,187,184,0
104.17.156.237,176,197,184,0
104.27.72.252,178,194,184,0
104.17.24.192,172,227,184,0
104.24.179.20,168,195,184,0
104.19.78.143,178,202,184,0
104.25.7.129,169,211,184,0
104.19.45.14,177,188,184,0
172.67.101.5,171,199,184,0
104.19.81.243,174,200,184,0
104.23.142.144,172,202,184,0
104.19.56.53,174,199,184,0
104.19.43.50,178,200,184,0
104.25.10.11,179,189,184,0
162.159.134.106,171,197,184,0
104.17.166.213,172,209,184,0
104.24.73.48,168,196,184,0
104.25.66.70,172,193,184,0
104.17.0.124,178,205,184,0
104.25.213.203,173,202,184,0
104.25.110.158,172,192,184,0
104.19.206.50,174,209,184,0
104.19.73.21,176,209,184,0
104.19.52.93,176,200,184,0
104.19.4.85,176,199,184,0
104.20.157.238,179,191,184,0
104.16.231.133,178,202,184,0
104.25.2.113,170,213,184,0
104.17.25.209,179,193,184,0
104.20.85.14,172,196,184,0
104.16.140.41,175,203,184,0
104.18.242.96,176,198,184,0
104.19.122.105,178,196,184,0
104.19.33.123,174,204,184,0
104.25.134.176,173,200,184,0
104.19.101.185,176,198,184,0
104.25.106.228,181,190,184,0
104.24.223.222,175,198,184,0
104.25.95.3,175,198,184,0
104.17.145.75,175,209,184,0
162.159.10.141,176,209,184,0
104.24.170.138,175,192,184,0
104.24.38.131,175,191,184,0
104.17.89.35,177,199,184,0
104.16.71.239,177,198,184,0
104.18.84.62,177,202,184,0
104.19.113.166,174,205,185,0
104.17.48.219,178,199,185,0
104.20.111.97,174,192,185,0
104.20.46.23,170,198,185,0
104.19.69.105,179,202,185,0
104.19.15.33,174,202,185,0
104.19.173.159,177,197,185,0
104.16.95.45,175,203,185,0
104.19.121.59,176,201,185,0
104.16.251.245,176,193,185,0
198.41.205.72,176,197,185,0
104.19.76.159,176,200,185,0
104.22.74.175,175,210,185,0
104.18.202.196,173,208,185,0
104.25.237.146,177,195,185,0
104.25.161.55,177,202,185,0
104.17.214.158,176,213,185,0
104.19.116.222,177,244,185,0
104.19.100.210,176,198,186,0
104.20.66.46,169,221,186,0
172.64.69.61,171,193,186,0
104.18.212.49,173,211,186,0
104.25.59.70,180,194,186,0
104.20.122.189,176,201,186,0
104.25.28.62,178,197,186,0
172.67.8.224,171,200,186,0
172.64.151.1,179,208,186,0
